City_ID,City,Country,Date,Lat,Lon,Wx_Desc,Max_Temp_(F),Humidity_%,Cloud_%,Wind_Spd
96,Butaritari,KI,2022-03-20 23:32:32,3.0707,172.7902,light rain,81.18,78,66,21.12
97,Victoria,HK,2022-03-20 23:32:33,22.2855,114.1577,overcast clouds,74.17,89,98,10.0
98,Lubango,AO,2022-03-20 23:32:34,-14.9172,13.4925,overcast clouds,63.84,62,91,3.11
99,Dikson,RU,2022-03-20 23:27:36,73.5069,80.5464,overcast clouds,1.87,96,99,11.18
100,Wajir,KE,2022-03-20 23:32:35,1.7471,40.0573,few clouds,78.62,60,21,15.9
101,Nanortalik,GL,2022-03-20 23:32:36,60.1432,-45.2371,clear sky,12.22,85,6,10.36
102,Port-Cartier,CA,2022-03-20 23:32:00,50.0334,-66.8654,light snow,28.62,96,100,12.48
103,Marsh Harbour,BS,2022-03-20 23:32:37,26.5412,-77.0636,scattered clouds,76.37,75,25,8.99
104,Gummidipundi,IN,2022-03-20 23:32:38,13.4,80.15,scattered clouds,84.2,83,35,9.01
105,Cape Town,ZA,2022-03-20 23:30:10,-33.9258,18.4232,clear sky,68.11,83,0,10.36
106,Ponta Do Sol,PT,2022-03-20 23:32:38,32.6667,-17.1,broken clouds,62.06,68,65,8.1
107,Husavik,IS,2022-03-20 23:32:39,66.0449,-17.3389,scattered clouds,29.12,80,37,8.43
108,San Juan,AR,2022-03-20 23:27:54,-31.5375,-68.5364,clear sky,73.04,36,0,12.66
109,Stornoway,GB,2022-03-20 23:32:40,58.2093,-6.3865,scattered clouds,45.93,79,45,2.3
110,Areosa,PT,2022-03-20 23:32:41,41.7178,-8.8571,overcast clouds,55.44,84,98,3.36
111,Jiwani,PK,2022-03-20 23:32:41,25.05,61.7417,clear sky,75.02,65,0,5.68
112,Altagracia De Orituco,VE,2022-03-20 23:32:42,9.8601,-66.3814,overcast clouds,73.0,80,96,6.69
113,Rio Grande,BR,2022-03-20 23:32:42,-32.035,-52.0986,broken clouds,59.95,54,55,13.87
