City_ID,City,Country,Max_Temp_(F),Wx_Desc,Lat,Lon,Hotel_Name
172,Ballina,AU,74.79,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
173,Aden,YE,77.41,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
174,Sinnamary,GF,77.49,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
175,Katobu,ID,78.96,overcast clouds,-4.9408,122.5276,La Ode Husein
176,Tabuk,PH,77.38,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
177,Matara,LK,76.62,few clouds,5.9485,80.5353,Amaloh Boutique Resort
178,Dzaoudzi,YT,80.49,few clouds,-12.7887,45.2699,Le Rocher
179,Quang Ngai,VN,76.68,broken clouds,15.1167,108.8,Central Hotel
180,Honiara,SB,83.61,broken clouds,-9.4333,159.95,Heritage Park Hotel
181,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
182,Calvinia,ZA,72.39,broken clouds,-31.4707,19.776,Die Lemoenhuis
183,Taitung,TW,71.87,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
185,Innisfail,AU,81.84,overcast clouds,-17.5333,146.0333,Moondarra Motel
186,Port-Gentil,GA,81.16,light rain,-0.7193,8.7815,Fengshui Residence
187,Galle,LK,79.52,few clouds,6.0367,80.217,Amangalla
188,Pedernales,DO,79.07,few clouds,18.0384,-71.744,Hotel Costa Marina
189,Luwuk,ID,80.76,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
190,Faanui,PF,82.38,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
191,Tambun,ID,82.49,few clouds,-6.2641,107.0712,Metland Hotel Bekasi
192,Narasannapeta,IN,75.09,scattered clouds,18.4167,84.05,AVK events and catering
193,Andalucia,CO,69.26,broken clouds,4.1706,-76.1664,Finca Hotel Kiriguazú
194,Tamiahua,MX,72.86,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
195,Saint-Joseph,RE,75.58,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
196,Kendari,ID,79.23,overcast clouds,-3.945,122.4989,Hotel Wixel
197,Tonantins,BR,73.98,broken clouds,-2.8731,-67.8022,Hotel Rei Davi
198,Ranong,TH,75.13,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
199,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
200,Cap Malheureux,MU,77.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
202,Posse,BR,75.06,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
203,Atar,MR,72.73,clear sky,20.5169,-13.0499,Oumou Elghoura
204,Takoradi,GH,79.66,broken clouds,4.8845,-1.7554,Raybow International Hotel
205,Victoria Point,AU,82.11,clear sky,-27.5833,153.3,Bay Retreat Motel
206,Meulaboh,ID,76.17,overcast clouds,4.1363,96.1285,Kost Pria
207,Kudahuvadhoo,MV,82.78,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
208,Pontes E Lacerda,BR,71.1,broken clouds,-15.2261,-59.3353,Hotel Bressan
209,Harper,LR,79.66,overcast clouds,4.375,-7.7169,Screensaver
210,Antsohihy,MG,73.44,overcast clouds,-14.8796,47.9875,Hotel de Ville
211,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
212,West Plains,US,72.43,clear sky,36.7281,-91.8524,West Plains Motel
213,Myitkyina,MM,66.11,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
214,Banda Aceh,ID,79.84,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
215,Morgan City,US,71.6,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
216,Eha Amufu,NG,81.01,scattered clouds,6.6592,7.7596,Eden Resort
217,Clarence Town,AU,74.98,overcast clouds,-32.5833,151.7833,River Downs Cottage
218,Ugoofaaru,MV,82.94,broken clouds,5.6667,73.0,Ungoofaaru Inn
219,Nouakchott,MR,67.93,clear sky,18.0858,-15.9785,HOTEL IMAN
220,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
222,Grand Gaube,MU,77.4,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
223,Touros,BR,78.51,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
224,Hartselle,US,67.68,scattered clouds,34.4434,-86.9353,Country Cottage-Hartselle
225,Nanfeng,CN,73.38,overcast clouds,23.7434,111.7959,Nanfeng Hotel
227,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
229,Talara,PE,75.63,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
232,Itarema,BR,76.93,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
233,Vila Do Maio,CV,68.79,scattered clouds,15.1333,-23.2167,Hotel Marilu
234,Kerrville,US,73.62,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
235,Iquique,CL,68.04,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
236,Tomatlan,MX,82.63,few clouds,19.9333,-105.25,El Salvial
237,Moranbah,AU,81.43,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
239,Scottsbluff,US,68.23,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
241,Alcantara,BR,79.0,light rain,-2.4089,-44.4147,Pousada da Josefa
242,Half Moon Bay,US,69.89,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
243,Kilinochchi,LK,75.6,few clouds,9.3961,80.3982,Solaivanam Guest House
245,Dicabisagan,PH,81.1,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
246,Ratnagiri,IN,76.1,overcast clouds,16.9833,73.3,Hotel Landmark
247,Chimbarongo,CL,70.68,overcast clouds,-34.7,-71.05,Hostal Ruka Kamañ
248,Sri Aman,MY,73.45,light rain,1.2376,111.4621,Seri Simanggang Hotel
249,Tuntum,BR,73.83,scattered clouds,-5.2581,-44.6489,Casa da Dona Maria Lúcia
250,Mari,BR,79.61,heavy intensity rain,-7.06,-35.3194,Pousada Itapemirim / Agência De Viajem
251,Malakwal,PK,69.49,clear sky,32.5536,73.2123,Green Town
252,Loandjili,CG,80.71,few clouds,-4.7561,11.8578,Résidence ARCHANGE
253,Vegachi,CO,66.94,broken clouds,6.7614,-74.7947,Hotel Real Vegachi
254,Piuma,BR,75.0,scattered clouds,-20.8378,-40.7219,Piúma Praia Hotel
255,La Suiza,CR,69.04,overcast clouds,9.8524,-83.6133,Nature Hideaway Bed & Breakfast
257,Puerto Ayacucho,VE,78.67,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
258,General Roca,AR,68.63,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
259,Mato Verde,BR,72.16,broken clouds,-15.3972,-42.8664,Quality Hotel
260,Noumea,NC,82.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
261,Bandiagara,ML,84.52,overcast clouds,14.3501,-3.6104,Hotel de la Falaise
262,Longhua,CN,70.95,overcast clouds,23.6137,114.1919,Huadu Hotel
263,Kalmunai,LK,78.13,clear sky,7.4167,81.8167,VS Villa
264,Nortelandia,BR,72.93,broken clouds,-14.4547,-56.8028,Hotel Karysmã
265,Mlonggo,ID,79.34,overcast clouds,-6.5333,110.7,Asia Metal Art
266,Karaton,ID,75.61,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
267,Lakes Entrance,AU,69.17,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
268,Tecoanapa,MX,82.49,clear sky,16.5167,-98.75,Hotel Manglares
269,Sokoni,TZ,80.4,light rain,-6.4333,39.55,Ujamaa Beach Resort
270,Alyangula,AU,85.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
271,Road Town,VG,78.84,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
272,Buchanan,LR,79.05,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
273,Port Augusta,AU,80.64,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
274,Gangapur,IN,74.66,clear sky,26.4833,76.7167,OYO 45271 Hotel Haveli
275,Soe,ID,74.37,overcast clouds,-9.8607,124.284,Dena Hotel
276,Houma,US,69.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
277,Pinos,MX,70.16,broken clouds,22.3,-101.5667,Hotel El Meson Del Conde
278,Quijingue,BR,75.4,clear sky,-10.7525,-39.2092,Pousada Sabor Da Terra
279,Itacare,BR,76.51,clear sky,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
280,Alugan,PH,80.78,light rain,12.2188,125.4808,JM Lodge
281,Puerto Madryn,AR,66.87,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
282,Kuchera,IN,71.55,clear sky,26.9839,73.9719,Surendra Java
283,Dunga Bunga,PK,75.34,clear sky,29.7493,73.2432,Asid Ali Bhatti
284,Navolato,MX,85.64,overcast clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
285,Ferry Pass,US,69.78,clear sky,30.5102,-87.2125,Hampton Inn Pensacola-Airport (Cordova Mall Area)
287,Kirakira,SB,85.26,overcast clouds,-10.4544,161.9205,SanBiz Lodge
288,Rohnert Park,US,75.11,clear sky,38.3396,-122.7011,DoubleTree by Hilton Hotel Sonoma Wine Country
290,Bouna,CI,79.81,overcast clouds,9.2667,-3.0,Hôtel lababa
291,Jijiga,ET,68.67,broken clouds,9.35,42.8,RAMAAS HOTEL
292,Varadero,CU,81.36,clear sky,23.1536,-81.2514,Hotel Tuxpan Varadero
293,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
294,Bombay,IN,78.78,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
295,Gisborne,NZ,65.86,light rain,-38.6533,178.0042,ASURE Alfresco Motor Lodge
296,Nicoya,CR,83.64,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
297,Alenquer,BR,76.05,overcast clouds,-1.9417,-54.7383,Detinha Hotel
298,Tual,ID,83.98,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
299,Umm Lajj,SA,67.32,clear sky,25.0213,37.2685,Moon light Furnished Units
300,Morondava,MG,79.48,broken clouds,-20.2833,44.2833,La Case Bambou
301,Bubaque,GW,75.07,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
302,Cururupu,BR,74.86,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
